code;bezeichnung;einzelpreis;gruppe
30.2;	Anwendung der Beutelbegasung für ganze Extremitäten mit Ozon oder Sauerstoff;36.00;HP Sonstiges
31.1;Eröffnung eines oberflächlichen Abszesses;13.00;HP Abszesse u.a.
31.2;Entfernung von Aknepusteln pro Sitzung;10.50;HP Abszesse u.a.
32.1;bei einer kleinen Wunde;10.50;HP Versorgung einer frischen Wunde
32.2;bei einer größeren und verunreinigten Wunde;15.50;HP Versorgung einer frischen Wunde
33.1;Verbände, jedesmal;15.50;HP Verbände (außer zur Wundbehandlung)
33.2;	elastische Stütz-, Tape- und Pflasterverbände;15.50;HP Verbände (außer zur Wundbehandlung)
33.3;Kompressions- oder Zinkleimverband;13.00;HP Verbände (außer zur Wundbehandlung)
34.1;Chiropraktische Behandlung;18.00;HP Gelenk- und Wirbelsäulenbehandlung
34.2;Gezielter chiropraktischer Eingriff an der Wirbelsäule;19.00;HP Gelenk- und Wirbelsäulenbehandlung
35.1;des Unterkiefers;15.50;HP Osteopathische Behandlung
35.2;des Schultergelenkes;26.00;HP Osteopathische Behandlung
35.3;der Handgelenke, der Oberschenkel, der Unterschenkel, der Vorderarme und der Fußgelenke;26.00;HP Osteopathische Behandlung
35.4;der Schlüsselbeine und der Kniegelenke;15.50;HP Osteopathische Behandlung
35.5;	der Daumen;13.00;HP Osteopathische Behandlung
35.6;der Finger und Zehen;13.00;HP Osteopathische Behandlung
36.1;Leitung eines ansteigenden Vollbades;15.50;HP Hydro- und Elektrotherapie
36.2;Leitung eines ansteigenden Teilbades;8.00;HP Hydro- und Elektrotherapie
36.3;Spezialdarmbad (subaquales Darmbad);23.00;HP Hydro- und Elektrotherapie
36.4;Kneippsche Güsse;8.00;HP Hydro- und Elektrotherapie
37.1;	Teilheißluftbad, z.B. Kopf oder Arm;8.00;HP Elektrische Bäder- und Heißluftbäder
37.2;Ganzheißluftbad, z.B. Rumpf oder Beine;10.50;HP Elektrische Bäder- und Heißluftbäder
37.3;Heißluftbad im geschlossenen Kasten;10.50;HP Elektrische Bäder- und Heißluftbäder
37.4;Elektrisches Vierzellenbad;13.00;HP Elektrische Bäder- und Heißluftbäder
38.1;Fangopackungen;15.50;HP Spezialpackungen
38.2;Paraffinpackungen, örtliche;15.50;HP Spezialpackungen
